,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2009, preliminary",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2009, preliminary",1980,1990,2000,2005,2008,"2009, preliminary"
      United States ,US,00,"8,779","9,709","10,377","11,080","12,211","12,887","13,521","14,123","15,184","16,114","16,985","17,504","18,423","18,901","19,676","20,472","21,357","22,260","23,541","24,368","25,955","26,817","27,816","28,829","30,309","31,342","33,174","34,453","35,464","35,553","18,831","19,139","19,382","19,842","21,070","21,531","22,052","22,210","22,964","23,356","23,542","23,415","23,940","24,034","24,514","24,953","25,478","26,067","27,308","27,819","28,911","29,312","29,995","30,468","31,215","31,342","32,287","32,656","32,527","32,544",100.0,100.0,100.0,100.0,100.0,100.0
Alabama ,AL,01,"6,955","7,679","8,200","8,754","9,679","10,291","10,806","11,328","12,228","13,176","13,943","14,645","15,514","15,943","16,688","17,454","18,006","18,717","19,693","20,333","21,357","22,369","23,321","24,368","25,919","27,027","28,239","29,426","30,438","30,597","14,918","15,138","15,316","15,676","16,701","17,194","17,624","17,814","18,493","19,097","19,326","19,591","20,160","20,273","20,791","21,275","21,480","21,918","22,844","23,212","23,789","24,450","25,148","25,753","26,694","27,027","27,484","27,891","27,917","28,007",79.2,82.1,82.3,86.2,85.8,86.1
Alaska ,AK,02,"13,057","14,086","16,331","16,537","17,267","17,966","17,805","17,260","17,913","19,129","19,937","20,597","21,240","21,963","22,538","23,096","23,377","24,204","24,786","25,368","27,101","28,723","29,980","30,577","32,029","33,567","35,279","36,988","39,945","39,416","28,007","27,768","30,504","29,614","29,794","30,016","29,040","27,143","27,091","27,726","27,634","27,553","27,601","27,927","28,079","28,152","27,888","28,344","28,752","28,960","30,187","31,395","32,328","32,315","32,986","33,567","34,336","35,059","36,636","36,080",148.7,117.4,104.4,107.1,112.6,110.9
Arizona ,AZ,04,"8,418","9,311","9,616","10,371","11,442","12,117","12,759","13,235","13,926","14,476","14,932","15,372","15,891","16,403","17,277","17,953","18,642","19,527","20,758","21,492","22,939","23,676","24,455","25,231","26,728","28,159","29,753","30,629","30,964","30,456","18,056","18,355","17,961","18,572","19,743","20,244","20,810","20,813","21,061","20,982","20,697","20,563","20,650","20,858","21,525","21,883","22,239","22,867","24,079","24,535","25,551","25,879","26,371","26,665","27,527","28,159","28,958","29,032","28,399","27,878",95.9,87.9,88.4,89.8,87.3,85.7
Arkansas ,AR,05,"6,701","7,589","7,933","8,491","9,479","10,031","10,508","10,819","11,592","12,341","12,928","13,605","14,616","15,050","15,708","16,355","17,165","17,680","18,456","19,168","20,034","21,296","21,942","23,242","24,573","25,344","26,694","28,399","29,239","29,536","14,373","14,960","14,818","15,205","16,356","16,759","17,138","17,014","17,531","17,887","17,919","18,199","18,993","19,137","19,570","19,935","20,477","20,704","21,409","21,882","22,315","23,277","23,661","24,563","25,307","25,344","25,981","26,918","26,817","27,036",76.3,76.1,77.2,80.9,82.4,83.1
California ,CA,06,"10,420","11,506","12,116","12,833","14,066","14,738","15,407","16,040","17,118","17,763","18,614","19,139","19,904","20,176","20,790","21,600","22,487","23,367","25,081","25,937","27,664","28,521","29,852","30,940","32,667","33,811","36,084","37,449","38,307","38,127","22,350","22,682","22,631","22,981","24,271","24,623","25,128","25,224","25,889","25,746","25,800","25,602","25,865","25,655","25,902","26,328","26,826","27,363","29,094","29,610","30,814","31,175","32,190","32,699","33,643","33,811","35,120","35,496","35,134","34,900",118.7,109.6,106.6,107.9,108.0,107.2
Colorado ,CO,08,"9,288","10,409","11,105","11,950","13,002","13,490","13,936","14,323","15,127","16,190","17,003","17,704","18,563","19,443","20,353","21,524","22,569","23,625","24,958","26,374","28,857","30,404","30,959","31,434","32,831","34,161","35,947","37,001","37,828","37,418","19,922","20,519","20,742","21,400","22,435","22,538","22,729","22,524","22,878","23,466","23,567","23,683","24,122","24,723","25,357","26,236","26,924","27,666","28,951","30,109","32,143","33,233","33,384","33,221","33,812","34,161","34,986","35,071","34,695","34,251",105.8,100.1,111.2,109.0,106.7,105.2
Connecticut ,CT,09,"10,551","11,749","12,645","13,740","15,361","16,211","17,206","18,474","20,434","22,041","22,815","23,046","24,396","24,935","25,666","26,740","27,517","28,852","30,476","31,533","33,837","35,306","36,633","37,368","39,630","40,649","44,068","45,474","46,592","47,154","22,631","23,161","23,619","24,605","26,505","27,084","28,063","29,052","30,904","31,946","31,623","30,829","31,702","31,707","31,977","32,593","32,826","33,787","35,352","35,998","37,690","38,591","39,502","39,492","40,814","40,649","42,890","43,103","42,733","43,163",120.2,134.3,130.4,129.7,131.4,132.6
Delaware ,DE,10,"8,977","9,795","10,655","11,470","12,648","13,648","14,201","15,137","16,256","17,727","18,262","19,208","19,598","19,890","20,300","21,107","22,153","22,527","24,080","24,665","26,427","27,569","29,040","29,915","31,555","32,252","34,073","34,801","35,580","36,097","19,255","19,309","19,902","20,540","21,824","22,802","23,161","23,804","24,585","25,694","25,312","25,695","25,467","25,292","25,291","25,727","26,427","26,380","27,933","28,158","29,436","30,134","31,315","31,615","32,498","32,252","33,162","32,986","32,633","33,042",102.3,107.5,101.8,102.9,100.3,101.5
District of Columbia,DC,11,"10,378","11,210","12,275","13,094","14,485","15,378","16,165","16,972","18,945","20,378","22,400","23,792","25,092","26,243","26,843","27,268","28,467","29,697","30,732","30,783","33,459","37,806","39,359","41,531","44,926","47,829","52,227","54,989","57,471","59,056","22,260","22,098","22,928","23,448","24,994","25,693","26,365","26,690","28,652","29,536","31,048","31,827","32,606","33,370","33,443","33,237","33,960","34,776","35,649","35,142","37,269","41,323","42,442","43,891","46,269","47,829","50,831","52,121","52,711","54,057",118.2,131.9,128.9,152.6,162.1,166.1
Florida ,FL,12,"8,752","9,773","10,204","11,317","12,391","13,075","13,693","14,380","15,420","16,690","17,398","17,838","18,468","19,089","19,703","20,644","21,357","21,931","23,196","23,944","25,392","26,163","27,361","28,489","30,367","31,726","33,994","34,739","35,172","34,880","18,773","19,265","19,059","20,266","21,380","21,845","22,333","22,614","23,321","24,191","24,115","23,862","23,999","24,273","24,547","25,163","25,478","25,682","26,907","27,335","28,283","28,597","29,504","30,108","31,275","31,726","33,085","32,927","32,259","31,928",99.7,102.4,97.8,101.2,99.2,98.1
Georgia ,GA,13,"7,397","8,229","8,854","9,558","10,753","11,475","12,252","12,853","13,844","14,606","15,424","16,025","16,973","17,548","18,486","19,389","20,425","21,123","22,195","23,108","24,606","25,314","25,955","26,592","27,517","28,660","29,588","30,582","31,093","30,926","15,866","16,222","16,538","17,116","18,554","19,172","19,983","20,213","20,937","21,170","21,379","21,437","22,056","22,313","23,031","23,633","24,366","24,736","25,746","26,380","27,408","27,669","27,988","28,103","28,339","28,660","28,797","28,987","28,518","28,308",84.3,90.8,94.8,91.4,87.7,87.0
Hawaii ,HI,15,"9,959","10,701","11,394","12,384","13,348","13,893","14,479","15,007","16,183","17,553","18,901","19,636","21,148","21,665","21,939","22,346","22,316","22,871","23,382","24,145","25,495","25,867","27,214","28,268","30,302","31,764","34,138","36,276","37,647","38,614","21,362","21,095","21,282","22,177","23,032","23,211","23,615","23,600","24,475","25,441","26,198","26,267","27,481","27,549","27,333","27,238","26,622","26,783","27,123","27,564","28,398","28,274","29,346","29,875","31,208","31,764","33,226","34,384","34,529","35,346",113.4,111.3,98.2,101.3,106.2,108.6
Idaho ,ID,16,"7,708","8,288","8,591","9,294","9,916","10,346","10,651","11,221","12,116","13,045","13,868","14,264","15,106","16,073","16,751","17,446","18,175","18,486","19,638","20,470","21,575","22,543","23,533","24,097","25,932","26,585","28,140","29,250","29,670","29,148","16,533","16,338","16,047","16,643","17,110","17,285","17,372","17,646","18,324","18,907","19,222","19,081","19,630","20,438","20,870","21,265","21,682","21,648","22,780","23,369","24,032","24,640","25,376","25,467","26,707","26,585","27,388","27,725","27,212","26,681",87.8,81.6,83.1,84.8,83.7,82.0
Illinois ,IL,17,"9,439","10,424","11,231","11,790","13,036","13,665","14,367","15,034","16,284","17,149","18,180","18,568","19,908","20,269","21,176","22,179","23,282","24,251","25,509","26,170","27,877","28,530","29,665","30,870","32,227","32,981","34,888","36,360","37,425","37,539","20,246","20,549","20,978","21,113","22,493","22,831","23,432","23,642","24,628","24,856","25,199","24,838","25,870","25,773","26,383","27,034","27,774","28,399","29,590","29,876","31,051","31,184","31,989","32,625","33,190","32,981","33,956","34,464","34,325","34,362",107.5,107.0,107.4,105.2,105.5,105.6
Indiana ,IN,18,"8,168","8,941","9,360","9,872","10,994","11,538","12,161","12,805","13,606","14,629","15,331","15,747","16,906","17,552","18,438","18,994","19,815","20,548","21,848","22,490","23,983","24,579","25,359","26,600","27,633","28,026","29,303","29,883","30,875","30,998","17,520","17,625","17,483","17,678","18,970","19,277","19,834","20,137","20,577","21,203","21,250","21,065","21,969","22,319","22,971","23,152","23,638","24,062","25,344","25,675","26,714","26,866","27,345","28,112","28,459","28,026","28,520","28,325","28,318","28,374",93.0,90.3,92.4,89.4,87.1,87.2
Iowa ,IA,19,"8,307","9,413","9,861","10,205","11,508","12,002","12,591","13,178","13,519","14,595","15,330","15,681","16,723","16,573","18,108","18,636","20,228","20,918","21,923","22,497","24,136","24,723","26,026","26,785","28,933","29,261","30,465","31,912","33,752","33,734","17,818","18,556","18,419","18,275","19,857","20,052","20,536","20,724","20,446","21,154","21,248","20,977","21,731","21,074","22,560","22,715","24,131","24,496","25,431","25,683","26,884","27,023","28,065","28,307","29,798","29,261","29,651","30,248","30,956","30,879",94.6,90.3,93.0,93.4,95.2,94.9
Kansas ,KS,20,"8,616","9,613","10,397","10,983","12,118","12,672","13,352","13,787","14,353","14,949","15,921","16,497","17,573","18,109","18,854","19,307","20,446","21,387","22,722","23,406","24,841","26,017","26,609","27,880","28,935","29,705","31,836","32,977","34,555","34,528","18,481","18,950","19,420","19,668","20,909","21,172","21,777","21,681","21,707","21,667","22,067","22,068","22,836","23,027","23,490","23,533","24,391","25,045","26,357","26,720","27,670","28,438","28,693","29,465","29,800","29,705","30,985","31,257","31,693","31,605",98.1,93.7,95.7,94.8,97.4,97.1
Kentucky ,KY,21,"7,173","7,901","8,419","8,743","9,881","10,252","10,529","11,066","12,062","12,838","13,544","14,328","15,226","15,560","16,193","16,724","17,571","18,383","19,420","20,103","21,726","22,178","22,979","23,593","24,738","25,468","26,848","27,651","28,558","29,204","15,386","15,575","15,725","15,657","17,049","17,128","17,173","17,402","18,242","18,607","18,773","19,167","19,786","19,786","20,174","20,385","20,961","21,527","22,527","22,950","24,200","24,241","24,779","24,934","25,477","25,468","26,130","26,209","26,193","26,732",81.7,79.7,83.7,81.3,80.5,82.1
Louisiana ,LA,22,"7,669","8,671","9,309","9,691","10,393","10,763","10,880","11,058","11,838","12,608","13,687","14,412","15,319","15,935","16,897","17,518","18,059","18,780","19,733","20,094","21,073","22,720","23,573","24,526","25,807","27,557","30,560","31,995","32,894","32,953","16,450","17,093","17,388","17,354","17,933","17,982","17,745","17,390","17,904","18,274","18,971","19,279","19,907","20,262","21,052","21,353","21,543","21,992","22,890","22,939","23,473","24,834","25,419","25,920","26,578","27,557","29,743","30,326","30,169","30,164",87.4,80.6,81.2,87.9,92.8,92.7
Maine ,ME,23,"7,450","8,125","8,715","9,403","10,421","11,114","11,889","12,677","13,735","14,707","15,222","15,558","16,305","16,738","17,457","18,197","19,105","19,896","21,153","22,010","23,227","24,627","25,794","27,001","28,455","28,676","30,111","31,209","32,665","33,859","15,980","16,017","16,278","16,839","17,981","18,569","19,391","19,936","20,773","21,316","21,099","20,812","21,188","21,284","21,749","22,180","22,791","23,299","24,537","25,127","25,872","26,918","27,814","28,536","29,305","28,676","29,306","29,581","29,959","30,993",84.9,89.6,89.5,91.5,92.1,95.2
Maryland ,MD,24,"9,488","10,362","11,284","12,257","13,456","14,587","15,457","16,239","17,651","18,557","19,420","20,114","20,923","21,490","22,278","22,900","23,692","24,424","26,036","27,232","29,231","30,714","32,121","33,328","35,498","36,854","38,853","40,234","41,642","43,125","20,351","20,427","21,077","21,949","23,218","24,371","25,210","25,537","26,695","26,897","26,917","26,907","27,189","27,326","27,756","27,913","28,263","28,601","30,202","31,088","32,560","33,572","34,637","35,222","36,559","36,854","37,815","38,136","38,193","39,475",108.1,114.3,112.6,117.6,117.4,121.3
Massachusetts ,MA,25,"9,021","9,933","11,034","11,990","13,519","14,432","15,387","16,483","18,198","18,931","19,549","20,154","21,166","21,752","22,729","23,664","24,786","25,914","27,400","28,570","30,786","32,355","33,937","34,781","36,472","37,559","40,327","41,804","43,306","44,163","19,350","19,581","20,610","21,471","23,327","24,112","25,096","25,921","27,522","27,439","27,096","26,960","27,505","27,659","28,317","28,844","29,568","30,346","31,784","32,616","34,292","35,365","36,595","36,758","37,562","37,559","39,249","39,624","39,719","40,425",102.8,115.1,118.6,119.8,122.1,124.2
Michigan ,MI,26,"8,961","9,611","10,130","10,761","11,937","12,807","13,555","13,895","14,768","15,726","16,368","16,833","17,880","18,484","19,787","20,407","21,013","21,840","23,062","23,861","25,285","26,034","26,775","28,014","28,516","28,916","29,684","30,370","31,343","31,309","19,221","18,946","18,921","19,270","20,597","21,397","22,108","21,851","22,335","22,793","22,687","22,518","23,235","23,504","24,652","24,874","25,067","25,575","26,752","27,240","28,164","28,456","28,872","29,606","29,368","28,916","28,891","28,786","28,747","28,659",102.1,96.4,97.4,92.3,88.4,88.1
Minnesota ,MN,27,"8,810","9,663","10,380","10,975","12,487","13,164","13,900","14,590","15,151","16,341","17,123","17,591","18,570","18,755","19,982","20,880","22,141","23,136","24,932","26,239","27,780","28,564","29,747","31,163","32,871","33,291","34,923","36,202","37,599","37,493","18,897","19,049","19,388","19,654","21,546","21,994","22,671","22,944","22,914","23,685","23,733","23,532","24,131","23,848","24,895","25,451","26,413","27,093","28,921","29,955","30,943","31,222","32,077","32,934","33,853","33,291","33,990","34,314","34,485","34,319",100.4,100.8,107.0,106.2,106.0,105.5
